match_id,team,bot_support,bot_carry,mid,jungle,top,win
4407623790,100,gMpBZLEDttb5UYg5hJAf_kXKoRSH3lDsRRcczV23u5viywY,k7Op3NMPaq1pbf-MtGpjz72esxPQJaQUylAUookhCMOFqpc,NC3KLzfsV1Q6_fknBrjxNsyXbl3Ti4SO7mK4nbTHrBpStsc_hfkvxIo1,FDN3QBr2MP0UBTtGYOEbHWd7pAR__n1HoTDAenOSGKUfrko,D8dEyokdCXRZ9jJ68qnSD9xnHsh9Cgg4HSAJgFDxYVZL_38,Win
4407623790,200,mmtMvzjW9heM09PJ0ZkE31iIDW33fqRmlh556B5GGckk1lA,7JY7klVOdW5LNFPvIBehSYan5woex9dkb5kzmuzMeYhX,Pvh78VizoQNeHwCA_xfwD6O9f1XIY7JUmokOs57EpBIYAak,xEyyj7kKpX71MqlA6j683ZpS1NONtd4qUOZRHjnmvxHOMJY,dhK89OI0xbvzBT_4bvyGFIVabJ3gD99KsRGfusLVjnXJKpU,Fail
4747427951,100,98HogSAsSheH2rCFuB68D5WrdWCcTV1r2grN-Z50xZrs,9EC1iHdD7wE2sLvpxAEH2JHJiz7jW9aiQg7hVt_7_Jx7MaU,2ygM-LJ2n3DBXtODM64rqOZuoSYVerMpba4B2uUHuIFLDCw,AUNuEkdWnJabNE07io-zfG3FFuNQFkJirO0Gby4gDwUcl-LbytH_KcMc,n9sdSFq4D04I-84iSUhhauEnjjKutyAopAXle32ODd2O,Win
4747427951,200,jAMMzD9JETcGo-4gnH1Ai6Ap3BaltCwBLyO-QU1bIDG80QALQHFnmD7F,gdjzhXpUtaxTlBHyDTqNXCG1K9ChxhaHkoPocPWFXStN,WdisyzMm1z-u_2q4MS3buMusF-c7jGaIDNzykrUcP1BDUW7b-_fQPaZb,lyvO7iLisjFtRrC89IgI7EP2zF2gAmxjXGg28KbqXYdJmno-FTTuy9QF,KVee554OxEQtFOtkPfj9cDDMnd3qnjzYCzxcnoPNHeAK,Fail
4732977266,100,X8S2Y-8ccKrxwbfx74i3O5wOeWFs5sR5VopMP-trIbLX,H8jTkhkz2BGAb1PC5rDjNcWs0ewsAdUWSwv576WXMdef,bREn0InLmAZxDMyH0NqRNPoUhMSgt6lKZFDSY8ijGOwkktg,wHDZ0-TP-M_3XSsPfbPZH94GZQuHE674caNNsVaP22Dxxvk,ZhiMa_bArTtUonsihjPpNC8VOy7ij04efjxanoCTDdQjOW4,Fail
4732977266,200,8mV4Thqk5ivbJG-0hFZF-2g8SMhN8FlM3gNc-fpzIQgpcH7N4tN_GjIJ,W3dp_gbzn0jJNz4Sn83C2TeVt_MfvcSh3nYJ3F34V7XiN4U,DOZwA8OA8mq5bVT9zftDIq17HfuLCCnjwXIdkkwwPmb4fIk,Pr_PgCq10KZpnaFwXKCBN5BTSOch70LJHqCZ28Cv8aY6-23c3aLbaeU9,8r85oAHdQIZzQd6y_HLnmnuOPfjrQElIIJFP1uwpiP6h,Win
4696146039,100,zFUhTUIje_ZCafPFjjWab23PamK0Db1qv2wXxfD-RcNY0Wk,KiLd8_Vw2rJkDS8rMUKK39hmGHs3l7nyRKJH5DxeyRLCeviSX4HA8l26,9myKxWVg7e-fenUZwvsWDATWypH7Fycu_Jn0jENnGju3Tpw,LI6tAN3vCLjNcSrOW7NO-5rdaMyzlbh8vRt51fXGVo-e,ppz2wjx_iIxFJvABT9ezNjZlInqfjVdRwlU9ep5AWzVrYyI6ZIEtkLop,Win
4696146039,200,fjQktWwwt0crd_Efs6vt3rFBIMjkvbVVp3waB2m8e-Dm,ujEQqloym_jah0oZl8hytDrFSZ0khW9rPGjg209Ug7wR,2j7rmfO-WJCdip0r9kTkYsOFSGv0Am2mTmfKR8NL2VW3jnA,nMa7pdkh2C2X0vd1zvCRn691N9efLSAothqsEk9GMkzK,LD0jwEeuTFmB9sYrsCyQpLQcYhVprUxDRcPZ3ueojOJuS0U,Fail
4740481144,100,DE-bsJNBKrONX1C4IVrVVVdHk8n-Uvn1m8K1cvZEfr24EC4ScgLOostF,SEcHnFjF-xJYic2ZJikWt2Wno1rKcIt_YQxVhYcSTxEBUT2LX2zK5fVU,BsFHKtE7yGuloEopRSXLTln1yjdVbgQ-PNWZ_tsRaUAI,012k4gj74jODlMGhIipTWCpVU_AGdh0CVP7m3gDfAoU0,hQM0Fr0TWg1Iz0iS2Er6ziBFOWrCgLca4klmMeGxywowonw,Win
4740481144,200,h_2EZDcYyGaMGmOvNg2L-ofSXz3F1yHLTRTtqYLetN8TGvU,IF3e6ni1Gd1mHAD5R8jo9Ki1QQabzhssSqRJZXzl9LJmKE0,lfb7cglpDuSJ_bxoPsbCC5ZS2GWRgz9LlmP2Dt6ruZAXVcm9c4FV_a71,dkDbsJqCBXxkBcF8e9b3qNshKHfKeoc_qCXHcimW-EWj39v0JUUx29_j,0wXlyfJ0oTp_Mv5hvixroywg1D7zSQtFvxJ8-RPXmSMsJ3eg6MKTwc8O,Fail
4710957180,100,eqqpcj0uoVSlvRX0FmDWTYazWJUH7OYwAalXrY8zmcXf8Sw,iUSAikNxjHq3x9CoU-tY7CztRd2fSFyH_PSkkE2usKSS6zg,W-miad_1H3O0qAJSP5mZw9OgPsO610BtVcr15XD2LZOlSDs,ZdhDi15eWMyAT-XQpwSAjDDoLJi4iV960dGJfEQ33LVxlEI,bIsJ8NuK85luylD9jXkF0XBMNto5wS4uH1iXk9XbgTc9bvQ,Fail
4710957180,200,rkQgrQEnGQcS0nuNeqFi2jI80WyviqgtwWwNhpRUVPE0,P6gKnhqsm97bNWxO3a_1-Lwn7QOdnnTZYQQs2pVPSrAT,FnySKgVvui_f6Np-Hkn-uEhfeOVcohCLThc0_5N6Bir9,zjGkfkXXZj9jOc15yqmvahFrGgZsonuXflfePP537RBM,YrsVBBspF8DSVJXbF4oyNd_XgL4ddKKoCLxtoBF6ra9K,Win
4669177991,100,NpAY_-P8QpgFva7sG-nkFfm6BkasWNW8oqT5uZyiWA4q,wml_dlemiPzaLyIJxAAuoyvETkvMTSLX-75JGePOJv9Nkto,Qi1uX40sdmXVnejv4solZvhycMAUeQ8Tsmb1gNRzBn_3Kxs,I3zEMh0-1FF-jXRoooQQd9Zz5fTyKNQH2PFycJd044FzfiQ,3Jfqnp__dwQyhoNTfAgNSyFfPlpepKQ0VygnH1Upei0v,Win
4669177991,200,MxInuFRN7xvOYk1TNFGCno01rF7ntWfIbPcmrxALsxZg,f4nu-4NzKEK3ywRmUqnfloA90g_VCiI5utfQRm2ZYyPG,l3nZBAJ4ASBuRvaU2QqqH4xf-jqjlsLs5Ls-l5-0xJn3-uc,UAcc7M8ZNdXzH1h-kkNqfOFo7vgIZ4UUeXyz9E57ovQv,35ZCkLptGc8GE4NhTsB0MvxPc_sBcVa5BefEoEVGVaOR,Fail
4433313944,100,ypPzaj-OXZSLiwreh7FNXawedqVpAegxMUxOCSu3OmgqnZ0,8wDaKrnqyaUKREmx6Xkt4qegZZbSfGEXL9e02hZSer3B,Vq8elmmv10Eu8LGoV7LVUaT5h6LFyGQq7nbhr4Pe-fetA_lvvTs3f3kn,xMNhED7KFW54EjYLYy0-EgqIKWgR01eOLSr-xqHcztr3fXc1ignkkPNc,XDImP99xPoc_0siv7mTz7j0_Tg5pUfbTwaFLeJACsQKJNa47ykV7VOJt,Win
4433313944,200,1TLaiR_2IatXAGRQCC-7ry5_iZxCxnmrOOfljXCOMQR0Zrk,NCiRCpZRdMuwsxWJNN8UnMZ_MjCg2ecS0SvwYLG8QvvaiE4,4ATBWxqqRP6RRr2iybxu-OEmL_hRnziZBlf0l5JFegAn86A,y8ILK9k_w8HPC7dWSwL_lqPdST7oB5a1p6-xciL5ekNhc2fv-mrC74dU,O2bpo_axHv9rW3xvq4JS9FeQVlAdpxlJTSRulFqoduZr,Fail
4733960353,100,y6LiT_sSpoCVnSD96lKqkhEGmTJQCBGNjkI-Dop0PlCF,jkYmjT9la3P6sC_AKKrIuZOA3pyatmKLvYmkIkn89Jwm,NKcOXfHEabPPTOPcWkGCgQhROxrh0ZlIdR7DeClF8twGzbY,5FBkQBITMpUAHTBHiq3ocz5CvhrB6zvwsxmUH9xg5w6A,O5xeR_61ZLXnodIAzSli3-12qoEsquZGB0B6N6ldTRKC,Win
4733960353,200,cYlg-PaTVa27KxgHCrXXym7vJWgUw9umsQ2CTInlPXJoEFWODRMzjIkG,hJK2pWdEgXHh-JRMM4vIDIT-e62a33s0jkoWNCoTaJZYmwGC6c6GiIL8,8SNjavktNhNXikLY2CuQ88SXPVJBMDQx3-qEuPb-bC6ZcsBJFEtOGDWg,if2UEggXzgVMhCUv-L_--o2qzWq8EjYlfxYL7CwEOyrv3E4,D_sFosSAqGeeDK8KES5DGutOqTtQUA0E7jfs2qsw41BY,Fail
4739170468,100,SFrhmeXIDYSSYcDaqbYdyd5LYgfT4pz2gwIm15rTGHXq7xayUuPR-1N6,m1hEMOauq5CrDuWQFQ8kbjORTknxxCbTFN3Rcjp02Nx8VYg,iVOjX30g7Kzs3LfCofVfIB6FoG7l951QyWRJOKBB4fP3,63UUR2EdTWeLXiCX_KLoQ85rRo1KriViJCPgn7rvIMBLKMebskgFDWPm,pzjsfAfkwQB8tCtqo3ZFtK6NdBcXQCq8ethDddQ8MBqsI5800aPUS3eH,Win
4739170468,200,8MOR9kEO2OuXJng2Dd7Wb-bUEtsh4wnC9GCCd-_SNNh_1Ys,w7tpCW-gAr-PvV_2M9iWfZK2k_aIXGW1qxXOHgz-vOeH,0PNC0Bx5lMuaBjVMb3FHv9w2qaOFyDEq6jQHBG5T26NO5zFX1PSr9ot_,VRppKloF96Koqed9-DytmXjhE7GvrAscNps5rmleZjYBfKGfu5j5Be_x,yMR1pDD6yTmlMSTLXlNB0elkL3AQAVUbKQh5CbVOx9vDwQg,Fail
4452221095,100,0e7nJce1Kyyvnbvo4QJE4jcCCBpm5jYmVuhNczQQZ__f,eC8fYkuRAPMSF0psAEunSRxRno2PqdEF8OQ65wAtNl5KI80,ggbnMVx723gGRQ9i3wWLxrIQbqLB6b7m0W-a7jx8detF,6M0Hi0sqggwIzWQQI58di3UmNmAXNypdzLcTx_j-TJMmOqs,w1I7WTIuuXbDwMkEd3_lRZecIPYh6tApM6Pv0kKUdlI,Fail
4452221095,200,wMDx2wTzABE2GcPFFXOeNMwTuh1QGMmL8ydBV2EZu0-iT5MQt1Q4fGlF,dWDHawAv_QCGqZTVv27FRaeC22a9XAal2tBbqv-XdX4FHioclvKrVzHz,hOjrUC0-gjL8FkceXruWtV4IUdAPwOg4-2-HX-oemkpWuPs,PQcSawdGkMaxjznCVabvURrBEluv_RKWQ4nu0l88rcjMcM4,fhuHQ80GlesGpWvQU71uOIMSH7D1REw0BZ1IGAMWxDdq,Win
